target_movieId,target_title,title,cosine_sim,user_rating
1219,Psycho,Rear Window,0.6177,5.0
1219,Psycho,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,0.5531,5.0
1219,Psycho,Taxi Driver,0.5528,5.0
1219,Psycho,Vertigo,0.5346,5.0
1219,Psycho,Fargo,0.5273,5.0
1219,Psycho,Apocalypse Now,0.5185,5.0
1219,Psycho,Chinatown,0.5176,5.0
1219,Psycho,2001: A Space Odyssey,0.5126,5.0
1219,Psycho,Being John Malkovich,0.5083,5.0
1219,Psycho,"Godfather, The",0.5041,5.0
1219,Psycho,Reservoir Dogs,0.5028,5.0
1219,Psycho,North by Northwest,0.5015,4.0
1219,Psycho,L.A. Confidential,0.4945,5.0
1219,Psycho,"Graduate, The",0.4941,5.0
1219,Psycho,Brazil,0.4924,5.0
1219,Psycho,Jaws,0.4907,4.0
1219,Psycho,Citizen Kane,0.4897,5.0
1219,Psycho,Casablanca,0.4894,5.0
1219,Psycho,Alien,0.4703,5.0
1219,Psycho,"Godfather: Part II, The",0.4602,5.0
1219,Psycho,"Sixth Sense, The",0.4569,3.0
1219,Psycho,Goodfellas,0.4518,5.0
1219,Psycho,Blade Runner,0.4516,5.0
1219,Psycho,E.T. the Extra-Terrestrial,0.4513,4.0
1219,Psycho,Who Framed Roger Rabbit?,0.4508,4.0
1219,Psycho,Monty Python and the Holy Grail,0.4478,5.0
1219,Psycho,"Wizard of Oz, The",0.4469,4.0
1219,Psycho,"Clockwork Orange, A",0.4463,5.0
1219,Psycho,Some Like It Hot,0.445,5.0
1219,Psycho,Raising Arizona,0.4447,5.0
1219,Psycho,Groundhog Day,0.4426,4.0
1219,Psycho,American Beauty,0.442,5.0
1219,Psycho,"Blues Brothers, The",0.4405,5.0
1219,Psycho,Misery,0.4364,4.0
1219,Psycho,Back to the Future,0.4362,5.0
1219,Psycho,To Kill a Mockingbird,0.4354,5.0
1219,Psycho,"Deer Hunter, The",0.4348,4.0
1219,Psycho,Blue Velvet,0.4346,4.0
1219,Psycho,"Breakfast Club, The",0.4343,5.0
1219,Psycho,Amadeus,0.4334,5.0
1203,12 Angry Men,One Flew Over the Cuckoo's Nest,0.4045,4.0
1203,12 Angry Men,Casablanca,0.3873,5.0
1203,12 Angry Men,It's a Wonderful Life,0.3819,5.0
1203,12 Angry Men,North by Northwest,0.3799,4.0
1203,12 Angry Men,To Kill a Mockingbird,0.3751,5.0
1203,12 Angry Men,"Godfather: Part II, The",0.3728,5.0
1203,12 Angry Men,Fargo,0.3722,5.0
1203,12 Angry Men,Goodfellas,0.372,5.0
1203,12 Angry Men,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il)",0.3701,5.0
1203,12 Angry Men,Schindler's List,0.368,4.0
1203,12 Angry Men,Monty Python and the Holy Grail,0.367,5.0
1203,12 Angry Men,Alien,0.3653,5.0
1203,12 Angry Men,"Godfather, The",0.3622,5.0
1203,12 Angry Men,Rear Window,0.3584,5.0
1203,12 Angry Men,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,0.3535,5.0
1203,12 Angry Men,"Karate Kid, The",0.3511,4.0
1203,12 Angry Men,Seven Samurai (Shichinin no samurai),0.3509,5.0
1203,12 Angry Men,Reservoir Dogs,0.3502,5.0
1203,12 Angry Men,Eternal Sunshine of the Spotless Mind,0.348,4.5
1203,12 Angry Men,American Beauty,0.3477,5.0
1203,12 Angry Men,"Shawshank Redemption, The",0.346,5.0
1203,12 Angry Men,Fight Club,0.3403,5.0
