neighbor_userId,cosine_sim,n_common
599,0.5481869859152568,1338.0
68,0.5200714423913726,950.0
480,0.484093092147066,680.0
474,0.475531839889795,1077.0
288,0.465703453627111,723.0
274,0.4596174907355539,856.0
608,0.4574473907331795,680.0
448,0.4521351045733648,914.0
182,0.45090528287400633,701.0
590,0.43672369634757674,572.0
307,0.43357333543179494,650.0
380,0.42317980592155274,723.0
298,0.4176672346948553,609.0
64,0.4154580327254175,448.0
249,0.41389848448925465,634.0
561,0.40854294502248983,426.0
232,0.40439346216526845,593.0
219,0.39434654034626193,451.0
177,0.3922527302818145,595.0
610,0.3905106817335597,661.0
483,0.39006726450954765,515.0
438,0.3881722551730061,511.0
477,0.3854624889954367,455.0
489,0.3845734738921537,499.0
525,0.38263478579209476,400.0
305,0.3814020601163377,459.0
91,0.3813129518976266,441.0
28,0.3812191142163796,431.0
600,0.3772358814976796,536.0
140,0.37574206707681373,454.0
226,0.37061366380695976,402.0
580,0.367445177058285,349.0
381,0.36691949327173745,393.0
387,0.36601452674626916,566.0
18,0.3601360095206182,374.0
560,0.35169280432055,346.0
239,0.3486125726477831,266.0
57,0.3475227470597296,365.0
45,0.3470028083100532,338.0
606,0.3431229061551011,561.0
597,0.34079985432563303,342.0
425,0.3402262782039743,281.0
19,0.3401257917631133,473.0
356,0.33722467487128854,254.0
199,0.3364192721268386,290.0
200,0.334250650588582,296.0
357,0.3326755033762604,300.0
573,0.33202069346417123,271.0
469,0.3311325062359917,334.0
132,0.32902176948172285,285.0
