neighbor_userId,cosine_sim,movieId,title,user414_rating,neighbor_rating
599,0.5481869859152568,1,Toy Story,4.0,3.0
599,0.5481869859152568,2,Jumanji,3.0,2.5
599,0.5481869859152568,3,Grumpier Old Men,4.0,1.5
599,0.5481869859152568,6,Heat,3.0,4.5
599,0.5481869859152568,7,Sabrina,3.0,2.5
599,0.5481869859152568,10,GoldenEye,3.0,3.5
599,0.5481869859152568,11,"American President, The",5.0,2.5
599,0.5481869859152568,15,Cutthroat Island,2.0,1.5
599,0.5481869859152568,16,Casino,3.0,3.0
599,0.5481869859152568,17,Sense and Sensibility,4.0,3.5
599,0.5481869859152568,18,Four Rooms,3.0,3.0
599,0.5481869859152568,21,Get Shorty,4.0,4.0
599,0.5481869859152568,23,Assassins,2.0,1.0
599,0.5481869859152568,24,Powder,3.0,2.5
599,0.5481869859152568,31,Dangerous Minds,3.0,2.0
599,0.5481869859152568,32,Twelve Monkeys (a.k.a. 12 Monkeys),5.0,3.0
599,0.5481869859152568,39,Clueless,4.0,3.0
599,0.5481869859152568,42,Dead Presidents,2.0,3.0
599,0.5481869859152568,44,Mortal Kombat,2.0,2.5
599,0.5481869859152568,45,To Die For,3.0,2.5
599,0.5481869859152568,47,Seven (a.k.a. Se7en),4.0,4.0
599,0.5481869859152568,50,"Usual Suspects, The",5.0,3.5
599,0.5481869859152568,52,Mighty Aphrodite,3.0,3.0
599,0.5481869859152568,57,Home for the Holidays,3.0,2.5
599,0.5481869859152568,65,Bio-Dome,2.0,2.0
599,0.5481869859152568,75,Big Bully,1.0,1.0
599,0.5481869859152568,81,Things to Do in Denver When You're Dead,2.0,2.5
599,0.5481869859152568,88,Black Sheep,2.0,0.5
599,0.5481869859152568,89,Nick of Time,3.0,2.5
599,0.5481869859152568,95,Broken Arrow,2.0,2.0
599,0.5481869859152568,101,Bottle Rocket,4.0,2.5
599,0.5481869859152568,104,Happy Gilmore,4.0,2.5
599,0.5481869859152568,110,Braveheart,5.0,3.5
599,0.5481869859152568,111,Taxi Driver,5.0,3.5
599,0.5481869859152568,112,Rumble in the Bronx (Hont faan kui),3.0,5.0
599,0.5481869859152568,141,"Birdcage, The",4.0,3.0
599,0.5481869859152568,144,"Brothers McMullen, The",4.0,2.5
599,0.5481869859152568,145,Bad Boys,2.0,3.0
599,0.5481869859152568,147,"Basketball Diaries, The",4.0,2.5
599,0.5481869859152568,150,Apollo 13,4.0,2.5
599,0.5481869859152568,153,Batman Forever,2.0,2.0
599,0.5481869859152568,155,Beyond Rangoon,2.0,2.5
599,0.5481869859152568,157,Canadian Bacon,4.0,1.5
599,0.5481869859152568,158,Casper,2.0,1.0
599,0.5481869859152568,159,Clockers,2.0,2.5
599,0.5481869859152568,160,Congo,1.0,2.5
599,0.5481869859152568,161,Crimson Tide,3.0,3.5
599,0.5481869859152568,163,Desperado,4.0,3.5
599,0.5481869859152568,165,Die Hard: With a Vengeance,3.0,3.0
599,0.5481869859152568,168,First Knight,2.0,1.5
599,0.5481869859152568,170,Hackers,3.0,3.0
599,0.5481869859152568,172,Johnny Mnemonic,3.0,2.0
599,0.5481869859152568,173,Judge Dredd,3.0,2.5
599,0.5481869859152568,175,Kids,4.0,2.5
599,0.5481869859152568,180,Mallrats,4.0,3.0
599,0.5481869859152568,185,"Net, The",2.0,2.5
599,0.5481869859152568,188,"Prophecy, The",4.0,2.5
599,0.5481869859152568,191,"Scarlet Letter, The",2.0,1.5
599,0.5481869859152568,193,Showgirls,2.0,1.5
599,0.5481869859152568,196,Species,3.0,2.5
599,0.5481869859152568,198,Strange Days,3.0,3.0
599,0.5481869859152568,207,"Walk in the Clouds, A",3.0,2.5
599,0.5481869859152568,208,Waterworld,2.0,2.5
599,0.5481869859152568,209,White Man's Burden,4.0,2.5
599,0.5481869859152568,210,Wild Bill,3.0,2.0
599,0.5481869859152568,215,Before Sunrise,4.0,4.5
599,0.5481869859152568,216,Billy Madison,3.0,2.5
599,0.5481869859152568,218,Boys on the Side,2.0,2.0
599,0.5481869859152568,223,Clerks,5.0,3.5
599,0.5481869859152568,230,Dolores Claiborne,3.0,2.0
599,0.5481869859152568,231,Dumb & Dumber (Dumb and Dumber),3.0,3.5
599,0.5481869859152568,233,Exotica,4.0,3.0
599,0.5481869859152568,235,Ed Wood,4.0,3.5
599,0.5481869859152568,236,French Kiss,3.0,2.5
599,0.5481869859152568,252,I.Q.,3.0,2.0
599,0.5481869859152568,253,Interview with the Vampire: The Vampire Chronicles,3.0,3.0
599,0.5481869859152568,260,Star Wars: Episode IV - A New Hope,5.0,5.0
599,0.5481869859152568,262,"Little Princess, A",4.0,2.5
599,0.5481869859152568,267,Major Payne,4.0,1.0
599,0.5481869859152568,276,Milk Money,3.0,3.0
599,0.5481869859152568,277,Miracle on 34th Street,2.0,1.5
599,0.5481869859152568,282,Nell,2.5,2.0
599,0.5481869859152568,288,Natural Born Killers,3.0,3.0
